k Pk
1.000000000000000048e-04 1.452786911929465759e+03
1.010663698204621069e-04 1.467486673488773931e+03
1.021441110868641573e-04 1.482334904535042142e+03
1.032333450608736655e-04 1.497333095063911287e+03
1.043341942972563380e-04 1.512482749854417534e+03
1.054467826576645819e-04 1.527785388613070609e+03
1.065712353245741920e-04 1.543242546119434110e+03
1.077076788153691128e-04 1.558855772372976844e+03
1.088562409965763625e-04 1.574626632741337517e+03
1.100170510982533554e-04 1.590556708110092359e+03
1.111902397285275133e-04 1.606647595033789457e+03
1.123759388882920033e-04 1.622900905888542638e+03
1.135742819860576940e-04 1.639318269026030976e+03
1.147854038529634335e-04 1.655901328928914381e+03
1.160094407579469926e-04 1.672651746367803071e+03
1.172465304230766180e-04 1.689571198559656068e+03
1.184968120390472360e-04 1.706661379327692430e+03
1.197604262808413467e-04 1.723923999262824509e+03
1.210375153235568980e-04 1.741360785886617577e+03
1.223282228584045262e-04 1.758973483815775353e+03
1.236326941088741760e-04 1.776763854928220326e+03
1.249510758470754636e-04 1.794733678530682027e+03
1.262835164102514042e-04 1.812884751527902381e+03
1.276301657174684981e-04 1.831218888593505199e+03
1.289911752864853715e-04 1.849737922342321326e+03
1.303666982507998228e-04 1.868443703504498899e+03
1.317568893768792618e-04 1.887338101101168149e+03
1.331619050815739723e-04 1.906423002621768774e+03
1.345819034497161256e-04 1.925700314203086691e+03
1.360170442519073640e-04 1.945171960809524307e+03
1.374674889624943040e-04 1.964839884898798118e+03
1.389334007777374329e-04 1.984706043108381209e+03
1.404149446341729137e-04 2.004772410183791408e+03
1.419122872271701683e-04 2.025040980127903140e+03
1.434255970296882232e-04 2.045513766382516224e+03
1.449550443112304090e-04 2.066192802011559252e+03
1.465008011570028638e-04 2.087080139885934386e+03
1.480630414872763508e-04 2.108177852870033803e+03
1.496419410769548068e-04 2.129488034009883449e+03
1.512376775753531408e-04 2.151012796723007796e+03
1.528504305261845289e-04 2.172754274989941678e+03
1.544803813877621630e-04 2.194714623547486099e+03
1.561277135534160250e-04 2.216896018083701165e+03
1.577926123721270428e-04 2.239300655434537020e+03
1.594752651693821528e-04 2.261930753782349711e+03
1.611758612682503771e-04 2.284788552856093247e+03
1.628945920106848755e-04 2.307876314133271990e+03
1.646316507790517307e-04 2.331196321043769331e+03
1.663872330178879351e-04 2.354750879175410319e+03
1.681615362558926694e-04 2.378542316481375110e+03
1.699547601281509537e-04 2.402572983489423677e+03
1.717671063985963379e-04 2.426845253513040461e+03
1.735987789827120082e-04 2.451361522864328890e+03
1.754499839704743748e-04 2.476124211068886780e+03
1.773209296495409587e-04 2.501135761082545287e+03
1.792118265286865326e-04 2.526398639510008252e+03
1.811228873614873544e-04 2.551915336825405120e+03
1.830543271702598368e-04 2.577688367594830197e+03
1.850063632702532716e-04 2.603720270700787296e+03
1.869792152941017601e-04 2.630013609568634365e+03
1.889731052165349423e-04 2.656570972395054923e+03
1.909882573793541931e-04 2.683394971602616806e+03
1.930248985166741231e-04 2.710488234999294491e+03
1.950832577804335573e-04 2.737853408679032782e+03
1.971635667661782154e-04 2.765493163597795501e+03
1.992660595391194023e-04 2.793410195920243041e+03
2.013909726604686283e-04 2.821607227242064710e+03
2.035385452140549896e-04 2.850087004814197371e+03
2.057090188332253084e-04 2.878852301768659800e+03
2.079026377280313151e-04 2.907905917346265142e+03
2.101196487127077227e-04 2.937250677126060054e+03
2.123603012334410569e-04 2.966889433256542816e+03
2.146248473964369123e-04 2.996825064688687689e+03
2.169135419962853650e-04 3.027060477410771000e+03
2.192266425446289587e-04 3.057598604685029386e+03
2.215644092991372210e-04 3.088442407286144316e+03
2.239271052927883899e-04 3.119594873741477386e+03
2.263149963634650968e-04 3.151059020573356065e+03
2.287283511838650112e-04 3.182837892542936515e+03
2.311674412917301045e-04 3.214934562896284660e+03
2.336325411203996028e-04 3.247352133611952468e+03
2.361239280296862763e-04 3.280093735650772942e+03
2.386418823370845205e-04 3.313162529207368607e+03
2.411866873493099064e-04 3.346561703963637228e+03
2.437586293941750222e-04 3.380294479344139745e+03
2.463579978528065680e-04 3.414364104773458621e+03
2.489850851922036220e-04 3.448773859935498876e+03
2.516401869981451820e-04 3.483527055034643581e+03
2.543236020084477960e-04 3.518627031059045294e+03
2.570356321465780522e-04 3.554077160045743312e+03
2.597765825556229099e-04 3.589880845347898685e+03
2.625467616326239428e-04 3.626041521903905050e+03
2.653464810632748445e-04 3.662562656441978106e+03
2.681760558569918447e-04 3.699447736770529900e+03
2.710358043823563870e-04 3.736700259192958129e+03
2.739260484029363012e-04 3.774323748297336806e+03
2.768471131134896449e-04 3.812321760074105896e+03
2.797993271765525152e-04 3.850697882158643552e+03
2.827830227594193419e-04 3.889455734075653254e+03
2.857985355715162573e-04 3.928598967484620516e+03
2.888462049021732914e-04 3.968131266426565617e+03
2.919263736588002681e-04 4.008056347572297454e+03
2.950393884054671638e-04 4.048377960471867937e+03
2.981855994018990652e-04 4.089099887805357412e+03
3.013653606428849663e-04 4.130225945635208518e+03
3.045790298981071822e-04 4.171759983659439968e+03
3.078269687523968543e-04 4.213705885466622931e+03
3.111095426464157636e-04 4.256067568791874692e+03
3.144271209177748605e-04 4.298848985774379798e+03
3.177800768425899456e-04 4.342054123216113112e+03
3.211687876774803004e-04 4.385687002841887988e+03
3.245936347020169917e-04 4.429751681560590441e+03
3.280550032616203599e-04 4.474252251728117699e+03
3.315532828109182405e-04 4.519192841411114387e+03
3.350888669575652953e-04 4.564577614652157536e+03
3.386621535065288766e-04 4.610410771736716015e+03
3.422735445048495553e-04 4.656696549460498318e+03
3.459234462868752275e-04 4.703439221398850350e+03
3.496122695199809448e-04 4.750643098177178217e+03
3.533404292507746837e-04 4.798312527742456950e+03
3.571083449517958842e-04 4.846451895636317204e+03
3.609164405687135353e-04 4.895065625269143311e+03
3.647651445680244030e-04 4.944158178195625624e+03
3.686548899852627845e-04 4.993734054391503378e+03
3.725861144737234692e-04 5.043797786867061404e+03
3.765592603537032748e-04 5.094353904578240872e+03
3.805747746622705342e-04 5.145406954204237081e+03
3.846331092035606926e-04 5.196961519085150030e+03
3.887347205996125412e-04 5.249022219530893381e+03
3.928800703417444930e-04 5.301593713035756082e+03
3.970696248424788132e-04 5.354680694493344163e+03
4.013038554880211245e-04 5.408287896410959547e+03
4.055832386912962707e-04 5.462420089124039805e+03
4.099082559455530608e-04 5.517082081010525144e+03
4.142793938785390329e-04 5.572278718704866151e+03
4.186971443072527179e-04 5.628014887311845087e+03
4.231620042932819690e-04 5.684295510620519963e+03
4.276744761987281399e-04 5.741125551317134523e+03
4.322350677427308019e-04 5.798510011198570282e+03
4.368442920585932187e-04 5.856453931384940006e+03
4.415026677515169790e-04 5.914962392531957448e+03
4.462107189569542993e-04 5.974040515042952393e+03
4.509689753995782687e-04 6.033693459280370007e+03
4.557779724528865915e-04 6.093926425777028271e+03
4.606382511994382882e-04 6.154744655446569595e+03
4.655503584917331113e-04 6.216153429793684154e+03
4.705148470137421324e-04 6.278158071123633817e+03
4.755322753430901521e-04 6.340763942751021204e+03
4.806032080139056536e-04 6.403976449208455961e+03
4.857282155803386778e-04 6.467801036453965935e+03
4.909078746807560550e-04 6.532243192077978165e+03
4.961427681026235863e-04 6.597308445509690500e+03
5.014334848480753387e-04 6.663002368222444602e+03
5.067806202001866409e-04 6.729330573938425005e+03
5.121847757899521906e-04 6.796298718832415034e+03
5.176465596639772413e-04 6.863912500653693314e+03
5.231665863528943373e-04 6.932177609266340369e+03
5.287454769405034284e-04 7.001099703746551313e+03
5.343838591336554219e-04 7.070684476044989424e+03
5.400823673328775457e-04 7.140937656271720698e+03
5.458416427037521236e-04 7.211865012767950248e+03
5.516623332490594965e-04 7.283472352174375374e+03
5.575450938816846553e-04 7.355765519496220804e+03
5.634905864983061254e-04 7.428750398164725993e+03
5.694994800538689473e-04 7.502432910095199077e+03
5.755724506368515084e-04 7.576819015741407384e+03
5.817101815453370713e-04 7.651914714146264487e+03
5.879133633638919474e-04 7.727726042988771042e+03
5.941826940412682067e-04 7.804259078627382223e+03
6.005188789689330916e-04 7.881519936138950470e+03
6.069226310604345677e-04 7.959514769354197597e+03
6.133946708316176475e-04 8.038249770889074171e+03
6.199357264816888861e-04 8.117731172171473190e+03
6.265465339751522499e-04 8.197965243464639570e+03
6.332278371246146233e-04 8.278958293885234525e+03
6.399803876744759173e-04 8.360716671418262194e+03
6.468049453855128847e-04 8.443246762926268275e+03
6.537022781203604381e-04 8.526554994154997985e+03
6.606731619299093363e-04 8.610647829734094557e+03
6.677183811406226226e-04 8.695531773172961039e+03
6.748387284427837191e-04 8.781213366851929095e+03
6.820350049796878840e-04 8.867699192009233229e+03
6.893080204377785526e-04 8.954995868721767692e+03
6.966585931377518694e-04 9.043110055881890730e+03
7.040875501266287634e-04 9.132048451168750034e+03
7.115957272708094182e-04 9.221817791014524119e+03
7.191839693501232570e-04 9.312424850565044835e+03
7.268531301528744415e-04 9.403876403841832143e+03
7.346040725719089068e-04 9.496179072882283435e+03
7.424376687017014134e-04 9.589339453186592436e+03
7.503547999364780117e-04 9.683364167324643859e+03
7.583563570693895332e-04 9.778259864613151876e+03
7.664432403927333957e-04 9.874033220775389054e+03
7.746163597992533232e-04 9.970690937591511101e+03
7.828766348845148104e-04 1.006823974253796041e+04
7.912249950503718373e-04 1.016668638841691791e+04
7.996623796095418549e-04 1.026603765297532846e+04
8.081897378912871995e-04 1.036630033851341250e+04
8.168080293482317747e-04 1.046748127148243657e+04
8.255182236643125683e-04 1.056958730207134067e+04
8.343213008638829167e-04 1.067262530378318479e+04
8.432182514219822627e-04 1.077660217299980650e+04
8.522100763757746835e-04 1.088152482853586116e+04
8.612977874371830758e-04 1.098740021118080222e+04
8.704824071067210605e-04 1.109423528323041864e+04
8.797649687885384338e-04 1.120203702800605970e+04
8.891465169066972967e-04 1.131081244936234725e+04
8.986281070226803799e-04 1.142056857118330845e+04
9.082108059541601879e-04 1.153131243686621929e+04
9.178956918950311296e-04 1.164305110879359199e+04
9.276838545367206831e-04 1.175579166779296247e+04
9.375763951908008429e-04 1.186954121258430314e+04
9.475744269128911785e-04 1.198430685921504664e+04
9.576790746279071698e-04 1.210009574048245668e+04
9.678914752566199946e-04 1.221691500534336228e+04
9.782127778435810005e-04 1.233477181831139205e+04
9.886441436864101037e-04 1.245367335884047861e+04
9.991867464664470292e-04 1.257362682069602306e+04
1.009841772380822532e-03 1.269463939974367349e+04
1.020610420275911432e-03 1.281671806046996244e+04
1.031493901782224278e-03 1.293986953669062859e+04
1.042493441450737966e-03 1.306410054562533514e+04
1.053610276890664440e-03 1.318941779568935999e+04
1.064845658908713860e-03 1.331582798535605980e+04
1.076200851649817321e-03 1.344333780200058573e+04
1.087677132739366158e-03 1.357195392072412687e+04
1.099275793426967391e-03 1.370168300315853230e+04
1.110998138731716847e-03 1.383253169625090050e+04
1.122845487589047833e-03 1.396450663102974613e+04
1.134819172999118088e-03 1.409761442134982462e+04
1.146920542176797222e-03 1.423186166261766266e+04
1.159150956703252277e-03 1.436725493049758552e+04
1.171511792679132266e-03 1.450380077959731716e+04
1.184004440879417178e-03 1.464150574213239997e+04
1.196630306909886570e-03 1.478037632657229187e+04
1.209390811365275605e-03 1.492041901626469007e+04
1.222287389989117892e-03 1.506164026803984416e+04
1.235321493835274701e-03 1.520404651079429277e+04
1.248494589431215808e-03 1.534764414405484240e+04
1.261808158943012728e-03 1.549243953652070013e+04
1.275263700342108312e-03 1.563843902458589946e+04
1.288862727573866166e-03 1.578564891084090959e+04
1.302606770727897509e-03 1.593407546255282432e+04
1.316497376210235947e-03 1.608372491012606042e+04
1.330536106917317449e-03 1.623460344554119729e+04
1.344724542411833814e-03 1.638671722077308732e+04
1.359064279100462248e-03 1.654007234618872462e+04
1.373556930413469095e-03 1.669467488892411711e+04
1.388204126986264256e-03 1.685053087123935984e+04
1.403007516842855141e-03 1.700764626875206886e+04
1.417968765581280799e-03 1.716602685529101291e+04
1.433089556561020382e-03 1.732567788293446574e+04
1.448371591092379850e-03 1.748660444087881115e+04
1.463816588627936052e-03 1.764881153803529742e+04
1.479426286955982245e-03 1.781230410073193343e+04
1.495202442396062655e-03 1.797708697039036269e+04
1.511146829996588272e-03 1.814316490117868307e+04
1.527261243734540173e-03 1.831054255763860419e+04
1.543547496717339500e-03 1.847922451228859791e+04
1.560007421386831652e-03 1.864921524320248136e+04
1.576642869725468571e-03 1.882051913156472438e+04
1.593455713464690454e-03 1.899314045920003628e+04
1.610447844295505348e-03 1.916708340608107756e+04
1.627621174081355336e-03 1.934235204781185530e+04
1.644977635073210107e-03 1.951895035308835213e+04
1.662519180126980495e-03 1.969688218113475523e+04
1.680247782923250483e-03 1.987615127911972377e+04
1.698165438189326148e-03 2.005676127954726326e+04
1.716274161923695210e-03 2.023871569762811851e+04
1.734575991622838665e-03 2.042201792862779621e+04
1.753072986510484247e-03 2.060667124519343997e+04
1.771767227769307585e-03 2.079267879466021986e+04
1.790660818775075859e-03 2.098004359633690547e+04
1.809755885333333035e-03 2.116876853877020403e+04
1.829054575918564671e-03 2.135885637699041399e+04
1.848559061915941611e-03 2.155030972973718963e+04
1.868271537865630848e-03 2.174313107666553333e+04
1.888194221709711294e-03 2.193732275553449290e+04
1.908329355041733268e-03 2.213288695937605371e+04
1.928679203358917580e-03 2.232982573364809286e+04
1.949246056317066210e-03 2.252814097336835766e+04
1.970032227988179150e-03 2.272783436776532835e+04
