k_array Pk[0,:]
1.000000000000000048e-04 1.414447038762969214e+03
1.010663698204621069e-04 1.428761120405611564e+03
1.021441110868641573e-04 1.443219823201316558e+03
1.032333450608736655e-04 1.457824599510026928e+03
1.043341942972563380e-04 1.472576916122300645e+03
1.054467826576645819e-04 1.487478254400395599e+03
1.065712353245741920e-04 1.502530110420809933e+03
1.077076788153691128e-04 1.517733995118084977e+03
1.088562409965763625e-04 1.533091434430036770e+03
1.100170510982533554e-04 1.548603969444385029e+03
1.111902397285275133e-04 1.564273156546729979e+03
1.123759388882920033e-04 1.580100567570002340e+03
1.135742819860576940e-04 1.596087789945318036e+03
1.147854038529634335e-04 1.612236426854245337e+03
1.160094407579469926e-04 1.628548097382577453e+03
1.172465304230766180e-04 1.645024436675537800e+03
1.184968120390472360e-04 1.661667096094469116e+03
1.197604262808413467e-04 1.678477743375033924e+03
1.210375153235568980e-04 1.695458062786903611e+03
1.223282228584045262e-04 1.712609755294981824e+03
1.236326941088741760e-04 1.729934538722178104e+03
1.249510758470754636e-04 1.747434147913680363e+03
1.262835164102514042e-04 1.765110334902840123e+03
1.276301657174684981e-04 1.782964869078673246e+03
1.289911752864853715e-04 1.800999537354823815e+03
1.303666982507998228e-04 1.819216144340283563e+03
1.317568893768792618e-04 1.837616512511647898e+03
1.331619050815739723e-04 1.856202482387024247e+03
1.345819034497161256e-04 1.874975912701615243e+03
1.360170442519073640e-04 1.893938680584544727e+03
1.374674889624943040e-04 1.913092680261016767e+03
1.389334007777374329e-04 1.932439819827356132e+03
1.404149446341729137e-04 1.951982025077190883e+03
1.419122872271701683e-04 1.971721240621876404e+03
1.434255970296882232e-04 1.991659430068729534e+03
1.449550443112304090e-04 2.011798576200866819e+03
1.465008011570028638e-04 2.032140681158672351e+03
1.480630414872763508e-04 2.052687766622922027e+03
1.496419410769548068e-04 2.073441873999539439e+03
1.512376775753531408e-04 2.094405064606031829e+03
1.528504305261845289e-04 2.115579419859597238e+03
1.544803813877621630e-04 2.136967041466934006e+03
1.561277135534160250e-04 2.158570051615773082e+03
1.577926123721270428e-04 2.180390593168084706e+03
1.594752651693821528e-04 2.202430829855096363e+03
1.611758612682503771e-04 2.224692946474019664e+03
1.628945920106848755e-04 2.247179149086519374e+03
1.646316507790517307e-04 2.269891665219030983e+03
1.663872330178879351e-04 2.292832744064832696e+03
1.681615362558926694e-04 2.316004656687915485e+03
1.699547601281509537e-04 2.339409696228745361e+03
1.717671063985963379e-04 2.363050178111787318e+03
1.735987789827120082e-04 2.386928440254944235e+03
1.754499839704743748e-04 2.411046843280847042e+03
1.773209296495409587e-04 2.435407770730044831e+03
1.792118265286865326e-04 2.460013629276075790e+03
1.811228873614873544e-04 2.484866848942493107e+03
1.830543271702598368e-04 2.509969883321799898e+03
1.850063632702532716e-04 2.535325209796333638e+03
1.869792152941017601e-04 2.560935329761150570e+03
1.889731052165349423e-04 2.586802768848873257e+03
1.909882573793541931e-04 2.612930076401081806e+03
1.930248985166741231e-04 2.639319816862460357e+03
1.950832577804335573e-04 2.665974572607594837e+03
1.971635667661782154e-04 2.692896950346961148e+03
1.992660595391194023e-04 2.720089581467123026e+03
2.013909726604686283e-04 2.747555122249952092e+03
2.035385452140549896e-04 2.775296254093720563e+03
2.057090188332253084e-04 2.803315683735846960e+03
2.079026377280313151e-04 2.831616143477498554e+03
2.101196487127077227e-04 2.860200391409956865e+03
2.123603012334410569e-04 2.889071211642764865e+03
2.146248473964369123e-04 2.918231414533705447e+03
2.169135419962853650e-04 2.947683836920554768e+03
2.192266425446289587e-04 2.977431342354757362e+03
2.215644092991372210e-04 3.007476821336867943e+03
2.239271052927883899e-04 3.037823191553816741e+03
2.263149963634650968e-04 3.068473398118226669e+03
2.287283511838650112e-04 3.099430413809292986e+03
2.311674412917301045e-04 3.130697239315966726e+03
2.336325411203996028e-04 3.162276903481611498e+03
2.361239280296862763e-04 3.194172463550913108e+03
2.386418823370845205e-04 3.226387005418509489e+03
2.411866873493099064e-04 3.258923643879655174e+03
2.437586293941750222e-04 3.291785522882802979e+03
2.463579978528065680e-04 3.324975815784176575e+03
2.489850851922036220e-04 3.358497725604303923e+03
2.516401869981451820e-04 3.392354485286476574e+03
2.543236020084477960e-04 3.426549357957310349e+03
2.570356321465780522e-04 3.461085637189248700e+03
2.597765825556229099e-04 3.495966647265147458e+03
2.625467616326239428e-04 3.531195743444792242e+03
2.653464810632748445e-04 3.566776312168716686e+03
2.681760558569918447e-04 3.602711760633191716e+03
2.710358043823563870e-04 3.639005504538594323e+03
2.739260484029363012e-04 3.675660987366085465e+03
2.768471131134896449e-04 3.712681683418629746e+03
2.797993271765525152e-04 3.750071098062186138e+03
2.827830227594193419e-04 3.787832767968757707e+03
2.857985355715162573e-04 3.825970261360595941e+03
2.888462049021732914e-04 3.864487178255766594e+03
2.919263736588002681e-04 3.903387150715317603e+03
2.950393884054671638e-04 3.942673843091632989e+03
2.981855994018990652e-04 3.982350952278264685e+03
3.013653606428849663e-04 4.022422207961380082e+03
3.045790298981071822e-04 4.062891372872115880e+03
3.078269687523968543e-04 4.103762243040872818e+03
3.111095426464157636e-04 4.145038648052599456e+03
3.144271209177748605e-04 4.186724451303763999e+03
3.177800768425899456e-04 4.228823550260556658e+03
3.211687876774803004e-04 4.271339876718578125e+03
3.245936347020169917e-04 4.314277397063759054e+03
3.280550032616203599e-04 4.357640112535051230e+03
3.315532828109182405e-04 4.401432059488058258e+03
