Lmin lmax ell clyy err cib rad ir noise err_stat
9.000000000000000000e+00 1.200000000000000000e+01 1.000000000000000000e+01 3.304147261523051379e-03 5.851180459782638899e-01 -2.276354531780467854e-06 2.115890195933647620e-05 7.985899504934755870e-06 4.975638320831623107e-08 1.752780550375157998e-03
1.200000000000000000e+01 1.600000000000000000e+01 1.350000000000000000e+01 7.840896965169919658e-03 4.310767581320577579e-01 2.546282910685583096e-05 3.439409989274859665e-05 6.244426092643686678e-06 8.707367061455339609e-08 2.274700132038791085e-03
1.600000000000000000e+01 2.100000000000000000e+01 1.800000000000000000e+01 1.387987895154647010e-02 3.521006480705555775e-01 6.360109683603021866e-05 9.615421055007111306e-05 1.428008198078675823e-05 1.368300538228696338e-07 2.938972726061416917e-03
2.100000000000000000e+01 2.700000000000000000e+01 2.350000000000000000e+01 2.684967633692542446e-02 2.654130089002055271e-01 1.569689499264356400e-04 1.985528471927859280e-04 1.033688861152769767e-05 2.363428202395021091e-07 3.638870890461197178e-03
2.700000000000000000e+01 3.500000000000000000e+01 3.050000000000000000e+01 3.008744858324858759e-02 1.993655070956146802e-01 2.039762929624924000e-04 4.281909947949674353e-04 2.809991741689659090e-05 3.731728740623717429e-07 3.992974630658982331e-03
3.500000000000000000e+01 4.600000000000000000e+01 4.000000000000000000e+01 3.504032335876239995e-02 1.311678695751052059e-01 2.495282617897059073e-04 5.444467841611982939e-04 4.112365072167336249e-05 7.463457481247434858e-07 4.174062987345648901e-03
4.600000000000000000e+01 6.000000000000000000e+01 5.250000000000000000e+01 4.959496106209265037e-02 1.068227518477975063e-01 1.807400620042087140e-04 1.099628507999590808e-03 7.478384396209929478e-05 1.393178729832854337e-06 4.419361956562646923e-03
6.000000000000000000e+01 7.800000000000000000e+01 6.850000000000000000e+01 5.035813690683760974e-02 1.028163389861105059e-01 2.892960510689526451e-04 1.561243353214744698e-03 1.754907635757313596e-04 2.263915435978388087e-06 4.566926950062711460e-03
7.800000000000000000e+01 1.020000000000000000e+02 8.950000000000000000e+01 7.174471163663953543e-02 5.462879439825839289e-02 1.104380242595985042e-03 2.254573675031026903e-03 3.955259292187078167e-04 3.781485123832033746e-06 4.686802516307347899e-03
1.020000000000000000e+02 1.330000000000000000e+02 1.170000000000000000e+02 1.083974776669380385e-01 4.621112556099617880e-02 3.513907734033510765e-03 3.482548773516469433e-03 7.477140486629721070e-04 6.791746307935165107e-06 5.010418032694236197e-03
1.330000000000000000e+02 1.730000000000000000e+02 1.525000000000000000e+02 1.417994104003212075e-01 3.749208233337267965e-02 9.482123704392032837e-03 5.498304248243380578e-03 1.563171413064067027e-03 1.135689446729817847e-05 5.473102640148368864e-03
1.730000000000000000e+02 2.240000000000000000e+02 1.980000000000000000e+02 1.912948711350930253e-01 3.220530411913317265e-02 2.115939952316855943e-02 8.702540692284134460e-03 3.302754082793218655e-03 2.016377429517015240e-05 6.124662478261270332e-03
2.240000000000000000e+02 2.920000000000000000e+02 2.575000000000000000e+02 2.715115523842293599e-01 3.523811399145092282e-02 5.084895874899604540e-02 1.385490124717589540e-02 6.410687047134275632e-03 3.570020495196689049e-05 6.878222901951219249e-03
2.920000000000000000e+02 3.800000000000000000e+02 3.355000000000000000e+02 3.858040419427306578e-01 2.132547695044027802e-02 1.064993711603072074e-01 2.105013450564309843e-02 1.310751061500377464e-02 6.587745136781068779e-05 8.157036584979758531e-03
3.800000000000000000e+02 4.940000000000000000e+02 4.365000000000000000e+02 5.327943865340258878e-01 1.839679653461880754e-02 1.834766630806660970e-01 3.104141527940583109e-02 2.756131700776236898e-02 1.227116800875098924e-04 1.033402761949321798e-02
4.940000000000000000e+02 6.420000000000000000e+02 5.675000000000000000e+02 7.454382290123111598e-01 1.744673134333997455e-02 3.071769900634294670e-01 4.504309785704625757e-02 5.742280941576618364e-02 2.520533982375279362e-04 1.509470592576911234e-02
6.420000000000000000e+02 8.350000000000000000e+02 7.380000000000000000e+02 1.072573449751877073e+00 3.000260977195461781e-02 4.799076302325416266e-01 6.287783804971414092e-02 1.202277170467927342e-01 6.067790932254164262e-04 2.785121013542982138e-02
8.350000000000000000e+02 1.085000000000000000e+03 9.595000000000000000e+02 1.520193839504051514e+00 6.392328452169356023e-02 7.143335858089434609e-01 8.613026471073212398e-02 2.494419966603184935e-01 1.818658001742968523e-03 6.336492816313195331e-02
1.085000000000000000e+03 1.411000000000000000e+03 1.247500000000000000e+03 2.227423233796703261e+00 1.510691868405950045e-01 9.901990705058164588e-01 1.171693414401271671e-01 5.100142474624211886e-01 7.929164788981472867e-03 1.510235348186823034e-01
1.411000000000000000e+03 1.834000000000000000e+03 1.622000000000000000e+03 3.507727817091696565e+00 3.314577340678614981e-01 1.338959733931871732e+00 1.636065882764788371e-01 1.029246039061524343e+00 6.366864112623552008e-02 3.314362620168592732e-01
1.834000000000000000e+03 2.385000000000000000e+03 2.109000000000000000e+03 5.479340759619440782e+00 6.224887065448524437e-01 1.765566908414743619e+00 2.443205348193990822e-01 2.026914985622022325e+00 1.358589273940534081e+00 6.224787123800405997e-01
2.385000000000000000e+03 3.096000000000000000e+03 2.740000000000000000e+03 1.381621040371345259e+02 9.772546379009594553e-01 2.426834341282545271e+00 4.264554797095654881e-01 4.143871174748619879e+00 1.381621040371345259e+02 9.772510788553785410e-01
